Timestamp;Nome Modulo;ID; Byte 0 e 1;Byte 1 e 2;Byte 2 e 3;Byte 3 e 4;
0.000; Dynamics module data; 0x11;0000;5701;0000;10801
15.450; Dynamics module data; 0x11;0000;12300;0000;7600
15.450; Dynamics module sensor errors; 0x12;0000;0100;0100;0000
15.450; Thermal sensor module; 0x21;3902;0603;17303;1601
15.450; Thermal sensor module; 0x22;18101;14202;2000;11900
15.500; Dynamics module data; 0x11;0000;8000;0000;13800
15.500; Dynamics module sensor errors; 0x12;0100;0100;0100;0000
15.500; Thermal sensor module; 0x21;25001;11802;6202;7503
15.500; Thermal sensor module; 0x22;14402;5103;18601;24501
15.550; Dynamics module data; 0x11;0000;13601;0000;4401
15.550; Dynamics module sensor errors; 0x12;0000;0100;0000;0000
15.550; Thermal sensor module; 0x21;24302;7901;0600;13400
15.550; Thermal sensor module; 0x22;25101;20902;18901;13403
15.600; Dynamics module data; 0x11;0000;16500;0000;17400
15.600; Dynamics module sensor errors; 0x12;0100;0100;0000;0100
15.600; Thermal sensor module; 0x21;9802;23602;22402;15801
15.600; Thermal sensor module; 0x22;22200;17402;6800;8801
15.650; Dynamics module data; 0x11;0000;8800;0000;23401
15.650; Dynamics module sensor errors; 0x12;0100;0100;0100;0100
15.650; Thermal sensor module; 0x21;4002;13903;12303;4000
15.650; Thermal sensor module; 0x22;0300;13403;2601;18301
15.700; Dynamics module data; 0x11;0000;19001;0000;7301
15.700; Dynamics module sensor errors; 0x12;0100;0100;0000;0000
15.700; Thermal sensor module; 0x21;18300;11303;13702;14501
15.700; Thermal sensor module; 0x22;11403;3801;0700;8001
15.750; Dynamics module data; 0x11;0000;16900;0000;11801
15.750; Dynamics module sensor errors; 0x12;0000;0100;0000;0100
15.750; Thermal sensor module; 0x21;15900;8401;24400;16700
15.750; Thermal sensor module; 0x22;5303;21101;2801;20100
15.800; Dynamics module data; 0x11;0000;11301;0000;12300
15.800; Dynamics module sensor errors; 0x12;0100;0100;0000;0100
15.800; Thermal sensor module; 0x21;21703;10300;24302;25302
15.800; Thermal sensor module; 0x22;3703;2700;25102;18202
15.850; Dynamics module data; 0x11;0000;12701;0000;25500
15.850; Dynamics module sensor errors; 0x12;0100;0100;0100;0000
15.850; Thermal sensor module; 0x21;18300;13601;13600;7401
15.850; Thermal sensor module; 0x22;17000;21800;14701;17302
15.900; Dynamics module data; 0x11;0000;13401;0000;9001
15.900; Dynamics module sensor errors; 0x12;0100;0000;0000;0100
15.900; Thermal sensor module; 0x21;0900;21301;14803;17800
15.900; Thermal sensor module; 0x22;21401;14901;3900;19300
15.950; Dynamics module data; 0x11;0000;17500;0000;5501
15.950; Dynamics module sensor errors; 0x12;0100;0100;0000;0100
15.950; Thermal sensor module; 0x21;18402;11303;20001;1002
15.950; Thermal sensor module; 0x22;3303;6501;16700;13002
16.000; Dynamics module data; 0x11;0000;14800;0000;19801
16.000; Dynamics module sensor errors; 0x12;0000;0100;0000;0100
16.000; Thermal sensor module; 0x21;15001;17903;9301;18303
16.000; Thermal sensor module; 0x22;13303;24400;6802;7401
16.050; Dynamics module data; 0x11;0000;13701;0000;18600
16.050; Dynamics module sensor errors; 0x12;0100;0100;0100;0000
16.050; Thermal sensor module; 0x21;16203;23000;21203;11801
16.050; Thermal sensor module; 0x22;1003;24200;23100;12901
16.100; Dynamics module data; 0x11;0000;3601;0000;22601
16.100; Dynamics module sensor errors; 0x12;0100;0000;0100;0100
16.100; Thermal sensor module; 0x21;23201;23201;11002;24501
16.100; Thermal sensor module; 0x22;20203;16801;7401;18502
16.150; Dynamics module data; 0x11;0000;12101;0000;14201
16.150; Dynamics module sensor errors; 0x12;0100;0100;0000;0000
16.150; Thermal sensor module; 0x21;4603;15100;6803;11102
16.150; Thermal sensor module; 0x22;22201;6802;8502;20102
16.200; Dynamics module data; 0x11;0000;5800;0000;17501
16.200; Dynamics module sensor errors; 0x12;0100;0000;0100;0000
16.200; Thermal sensor module; 0x21;0701;0601;19100;18703
16.200; Thermal sensor module; 0x22;4602;21702;22502;6903
16.250; Dynamics module data; 0x11;0000;20801;0000;8101
16.250; Dynamics module sensor errors; 0x12;0000;0000;0100;0000
16.250; Thermal sensor module; 0x21;18001;1201;1601;20502
16.250; Thermal sensor module; 0x22;7602;23003;18302;21900
16.300; Dynamics module data; 0x11;0000;18000;0000;12401
16.300; Dynamics module sensor errors; 0x12;0100;0100;0100;0000
16.300; Thermal sensor module; 0x21;18001;14002;9603;1003
16.300; Thermal sensor module; 0x22;11202;19202;0802;11102
16.350; Dynamics module data; 0x11;0000;18700;0000;10801
16.350; Dynamics module sensor errors; 0x12;0000;0000;0000;0100
16.350; Thermal sensor module; 0x21;6602;18903;16701;20700
16.350; Thermal sensor module; 0x22;3603;22600;23000;0602
16.400; Dynamics module data; 0x11;0000;19600;0000;11801
16.400; Dynamics module sensor errors; 0x12;0100;0000;0100;0000
16.400; Thermal sensor module; 0x21;10203;23401;8001;14500
16.400; Thermal sensor module; 0x22;16002;2703;8902;15801
16.450; Dynamics module data; 0x11;0000;22701;0000;15801
16.450; Dynamics module sensor errors; 0x12;0000;0000;0000;0000
16.450; Thermal sensor module; 0x21;18600;1801;3502;7702
16.450; Thermal sensor module; 0x22;20600;12700;10603;22701
16.500; Dynamics module data; 0x11;0000;23200;0000;3600
16.500; Dynamics module sensor errors; 0x12;0100;0100;0100;0000
16.500; Thermal sensor module; 0x21;10201;5700;12003;5702
16.500; Thermal sensor module; 0x22;23902;21203;17000;10701
16.550; Dynamics module data; 0x11;0000;7400;0000;13401
16.550; Dynamics module sensor errors; 0x12;0100;0000;0000;0100
16.550; Thermal sensor module; 0x21;15502;23501;20202;18502
16.550; Thermal sensor module; 0x22;9101;9300;3503;1003
16.600; Dynamics module data; 0x11;0000;6101;0000;19901
16.600; Dynamics module sensor errors; 0x12;0000;0100;0000;0100
16.600; Thermal sensor module; 0x21;10702;10302;17602;1801
16.600; Thermal sensor module; 0x22;24402;11301;15600;13302
16.650; Dynamics module data; 0x11;0000;13201;0000;21601
16.650; Dynamics module sensor errors; 0x12;0100;0100;0000;0100
16.650; Thermal sensor module; 0x21;5303;9600;16501;7200
16.650; Thermal sensor module; 0x22;11402;11603;16003;9000
16.700; Dynamics module data; 0x11;0000;21901;0000;9300
16.700; Dynamics module sensor errors; 0x12;0100;0100;0000;0000
16.700; Thermal sensor module; 0x21;4501;15701;2400;5103
16.700; Thermal sensor module; 0x22;5503;9202;17502;18102
16.750; Dynamics module data; 0x11;0000;19501;0000;10900
16.750; Dynamics module sensor errors; 0x12;0100;0100;0000;0000
16.750; Thermal sensor module; 0x21;14503;5002;0302;10901
16.750; Thermal sensor module; 0x22;24402;9203;17801;10801
16.800; Dynamics module data; 0x11;0000;16801;0000;23601
16.800; Dynamics module sensor errors; 0x12;0000;0000;0100;0000
16.800; Thermal sensor module; 0x21;0402;7500;4801;17203
16.800; Thermal sensor module; 0x22;19302;22703;21101;19503
16.850; Dynamics module data; 0x11;0000;21701;0000;6801
16.850; Dynamics module sensor errors; 0x12;0000;0100;0100;0100
16.850; Thermal sensor module; 0x21;8602;24701;17401;11802
16.850; Thermal sensor module; 0x22;22400;16502;19302;10300
16.900; Dynamics module data; 0x11;0000;12601;0000;25000
16.900; Dynamics module sensor errors; 0x12;0100;0100;0000;0000
16.900; Thermal sensor module; 0x21;2502;5000;3101;3802
16.900; Thermal sensor module; 0x22;16103;8003;9503;21401
16.950; Dynamics module data; 0x11;0000;12201;0000;14801
16.950; Dynamics module sensor errors; 0x12;0000;0100;0100;0000
16.950; Thermal sensor module; 0x21;22900;5603;2000;7501
16.950; Thermal sensor module; 0x22;8602;12800;16500;2002
17.000; Dynamics module data; 0x11;0000;16600;0000;19701
17.000; Dynamics module sensor errors; 0x12;0100;0000;0100;0000
17.000; Thermal sensor module; 0x21;0301;13601;8603;12903
17.000; Thermal sensor module; 0x22;5502;9002;2801;20602
17.050; Dynamics module data; 0x11;0000;21901;0000;12000
17.050; Dynamics module sensor errors; 0x12;0000;0000;0000;0000
17.050; Thermal sensor module; 0x21;10802;11000;19003;8501
17.050; Thermal sensor module; 0x22;22203;1902;13403;15402
17.100; Dynamics module data; 0x11;0000;13101;0000;19201
17.100; Dynamics module sensor errors; 0x12;0000;0000;0000;0100
17.100; Thermal sensor module; 0x21;11400;16602;0500;19602
17.100; Thermal sensor module; 0x22;0403;1602;8301;23700
17.150; Dynamics module data; 0x11;0000;17500;0000;0500
17.150; Dynamics module sensor errors; 0x12;0100;0000;0100;0000
17.150; Thermal sensor module; 0x21;21300;11102;3603;14801
17.150; Thermal sensor module; 0x22;5703;8701;6702;8203
17.200; Dynamics module data; 0x11;0000;19301;0000;15800
17.200; Dynamics module sensor errors; 0x12;0000;0100;0000;0000
17.200; Thermal sensor module; 0x21;11102;18902;9203;2401
17.200; Thermal sensor module; 0x22;21501;24401;18501;8801
17.250; Dynamics module data; 0x11;0000;18300;0000;17300
17.250; Dynamics module sensor errors; 0x12;0100;0000;0000;0000
17.250; Thermal sensor module; 0x21;14403;14900;0600;18301
17.250; Thermal sensor module; 0x22;4601;6101;6203;10002
17.300; Dynamics module data; 0x11;0000;5900;0000;17900
17.300; Dynamics module sensor errors; 0x12;0100;0100;0000;0000
17.300; Thermal sensor module; 0x21;2502;16400;17101;8500
17.300; Thermal sensor module; 0x22;18401;14903;16102;10602
17.350; Dynamics module data; 0x11;0000;10500;0000;24101
17.350; Dynamics module sensor errors; 0x12;0100;0000;0100;0100
17.350; Thermal sensor module; 0x21;1103;12601;6003;21501
17.350; Thermal sensor module; 0x22;21301;8301;22901;6302
17.400; Dynamics module data; 0x11;0000;16701;0000;2101
17.400; Dynamics module sensor errors; 0x12;0000;0100;0000;0100
17.400; Thermal sensor module; 0x21;0000;3401;1702;2602
17.400; Thermal sensor module; 0x22;20701;8303;15403;16901
17.450; Dynamics module data; 0x11;0000;8201;0000;8001
17.450; Dynamics module sensor errors; 0x12;0100;0000;0100;0100
17.450; Thermal sensor module; 0x21;6402;0400;18903;21101
17.450; Thermal sensor module; 0x22;12701;8302;16101;8400
17.500; Dynamics module data; 0x11;0000;3400;0000;9000
17.500; Dynamics module sensor errors; 0x12;0000;0000;0000;0100
17.500; Thermal sensor module; 0x21;13301;19301;13602;13501
17.500; Thermal sensor module; 0x22;14901;11001;25101;13301
17.550; Dynamics module data; 0x11;0000;12501;0000;10900
17.550; Dynamics module sensor errors; 0x12;0000;0000;0000;0100
17.550; Thermal sensor module; 0x21;22203;14200;15402;3603
17.550; Thermal sensor module; 0x22;20302;7501;21001;4203
17.600; Dynamics module data; 0x11;0000;8800;0000;13000
17.600; Dynamics module sensor errors; 0x12;0000;0100;0000;0000
17.600; Thermal sensor module; 0x21;16603;4001;10202;6102
17.600; Thermal sensor module; 0x22;16102;19800;4502;15903
17.650; Dynamics module data; 0x11;0000;22900;0000;1500
17.650; Dynamics module sensor errors; 0x12;0100;0000;0100;0100
17.650; Thermal sensor module; 0x21;10203;14003;11500;16901
17.650; Thermal sensor module; 0x22;12101;21301;23102;14600
17.700; Dynamics module data; 0x11;0000;8300;0000;12201
17.700; Dynamics module sensor errors; 0x12;0000;0100;0000;0000
17.700; Thermal sensor module; 0x21;10203;14301;14800;14002
17.700; Thermal sensor module; 0x22;24402;9902;14401;17503
17.750; Dynamics module data; 0x11;0000;17000;0000;22200
17.750; Dynamics module sensor errors; 0x12;0000;0100;0000;0000
17.750; Thermal sensor module; 0x21;3901;9400;2401;3501
17.750; Thermal sensor module; 0x22;13000;15100;5002;4300
17.800; Dynamics module data; 0x11;0000;20300;0000;18500
17.800; Dynamics module sensor errors; 0x12;0000;0000;0100;0000
17.800; Thermal sensor module; 0x21;7402;0603;6601;9102
17.800; Thermal sensor module; 0x22;14900;23800;10003;13203
17.850; Dynamics module data; 0x11;0000;4201;0000;1301
17.850; Dynamics module sensor errors; 0x12;0100;0000;0100;0100
17.850; Thermal sensor module; 0x21;20100;24400;4902;13801
17.850; Thermal sensor module; 0x22;25301;19503;22502;19802
17.900; Dynamics module data; 0x11;0000;23400;0000;2401
17.900; Dynamics module sensor errors; 0x12;0100;0000;0000;0000
17.900; Thermal sensor module; 0x21;10003;18900;4702;4303
17.900; Thermal sensor module; 0x22;17201;0503;24902;3001
17.950; Dynamics module data; 0x11;0000;13201;0000;6800
17.950; Dynamics module sensor errors; 0x12;0100;0100;0100;0100
17.950; Thermal sensor module; 0x21;22003;4603;22101;20500
17.950; Thermal sensor module; 0x22;13000;24800;12500;12201
18.000; Dynamics module data; 0x11;0000;10801;0000;0601
18.000; Dynamics module sensor errors; 0x12;0000;0000;0100;0100
18.000; Thermal sensor module; 0x21;21902;9200;17300;2002
18.000; Thermal sensor module; 0x22;24900;0102;15000;7900
18.050; Dynamics module data; 0x11;0000;17301;0000;20500
18.050; Dynamics module sensor errors; 0x12;0000;0100;0000;0100
18.050; Thermal sensor module; 0x21;0902;24400;8602;6800
18.050; Thermal sensor module; 0x22;15400;23001;24600;7200
18.100; Dynamics module data; 0x11;0000;11101;0000;19800
18.100; Dynamics module sensor errors; 0x12;0100;0000;0000;0100
18.100; Thermal sensor module; 0x21;4803;17102;8202;14802
18.100; Thermal sensor module; 0x22;4500;7502;7603;4503
18.150; Dynamics module data; 0x11;0000;4001;0000;17701
18.150; Dynamics module sensor errors; 0x12;0000;0000;0000;0100
18.150; Thermal sensor module; 0x21;5500;19003;19401;20100
18.150; Thermal sensor module; 0x22;5100;19701;17101;4801
18.200; Dynamics module data; 0x11;0000;12300;0000;2900
18.200; Dynamics module sensor errors; 0x12;0100;0000;0000;0000
18.200; Thermal sensor module; 0x21;24902;5001;9502;3803
18.200; Thermal sensor module; 0x22;2303;18503;15500;0002
18.250; Dynamics module data; 0x11;0000;1001;0000;12401
18.250; Dynamics module sensor errors; 0x12;0100;0000;0000;0000
18.250; Thermal sensor module; 0x21;0700;6000;9802;1702
18.250; Thermal sensor module; 0x22;4801;6100;19800;14500
18.300; Dynamics module data; 0x11;0000;5001;0000;7200
18.300; Dynamics module sensor errors; 0x12;0100;0000;0100;0100
18.300; Thermal sensor module; 0x21;6503;8102;9201;14400
18.300; Thermal sensor module; 0x22;3102;14901;8302;1702
18.350; Dynamics module data; 0x11;0000;5401;0000;8901
18.350; Dynamics module sensor errors; 0x12;0000;0100;0100;0000
18.350; Thermal sensor module; 0x21;0001;10200;5301;6301
18.350; Thermal sensor module; 0x22;0603;21403;7702;15603
18.400; Dynamics module data; 0x11;0000;22901;0000;5301
18.400; Dynamics module sensor errors; 0x12;0100;0000;0100;0100
18.400; Thermal sensor module; 0x21;22103;6401;14400;5102
18.400; Thermal sensor module; 0x22;13403;7701;20402;16703
18.450; Dynamics module data; 0x11;0000;14201;0000;24301
18.450; Dynamics module sensor errors; 0x12;0100;0100;0000;0000
18.450; Thermal sensor module; 0x21;9802;13301;8502;0900
18.450; Thermal sensor module; 0x22;7901;4802;13703;22403
18.500; Dynamics module data; 0x11;0000;22800;0000;14201
18.500; Dynamics module sensor errors; 0x12;0000;0000;0100;0000
18.500; Thermal sensor module; 0x21;11900;24800;6903;5400
18.500; Thermal sensor module; 0x22;1103;21902;3700;8302
18.550; Dynamics module data; 0x11;0000;14101;0000;13001
18.550; Dynamics module sensor errors; 0x12;0100;0000;0000;0000
18.550; Thermal sensor module; 0x21;3703;15902;20002;16702
18.550; Thermal sensor module; 0x22;14601;15502;11403;21402
18.600; Dynamics module data; 0x11;0000;0200;0000;6700
18.600; Dynamics module sensor errors; 0x12;0100;0000;0000;0000
18.600; Thermal sensor module; 0x21;3803;11900;20101;4202
18.600; Thermal sensor module; 0x22;11802;11800;7202;14101
18.650; Dynamics module data; 0x11;0000;0801;0000;6201
18.650; Dynamics module sensor errors; 0x12;0100;0100;0000;0100
18.650; Thermal sensor module; 0x21;25001;14900;19902;5003
18.650; Thermal sensor module; 0x22;21501;0803;6400;1302
18.700; Dynamics module data; 0x11;0000;10801;0000;6201
18.700; Dynamics module sensor errors; 0x12;0000;0100;0100;0000
18.700; Thermal sensor module; 0x21;2603;12700;13301;7801
18.700; Thermal sensor module; 0x22;19901;15003;9101;25200
18.750; Dynamics module data; 0x11;0000;21201;0000;8600
18.750; Dynamics module sensor errors; 0x12;0000;0000;0100;0000
18.750; Thermal sensor module; 0x21;0003;24000;0203;6601
18.750; Thermal sensor module; 0x22;9501;18900;17001;4603
18.800; Dynamics module data; 0x11;0000;21801;0000;12500
18.800; Dynamics module sensor errors; 0x12;0000;0100;0000;0000
18.800; Thermal sensor module; 0x21;24402;14203;11301;12301
18.800; Thermal sensor module; 0x22;7901;8300;7902;9700
18.850; Dynamics module data; 0x11;0000;15700;0000;24700
18.850; Dynamics module sensor errors; 0x12;0000;0000;0000;0100
18.850; Thermal sensor module; 0x21;13502;3803;18503;19000
18.850; Thermal sensor module; 0x22;8903;6702;21703;4100
18.900; Dynamics module data; 0x11;0000;18800;0000;3000
18.900; Dynamics module sensor errors; 0x12;0100;0000;0100;0100
18.900; Thermal sensor module; 0x21;5900;4602;22801;0803
18.900; Thermal sensor module; 0x22;14902;18802;3502;14702
18.950; Dynamics module data; 0x11;0000;8600;0000;17801
18.950; Dynamics module sensor errors; 0x12;0100;0000;0000;0000
18.950; Thermal sensor module; 0x21;8002;20901;16402;13500
18.950; Thermal sensor module; 0x22;16501;14703;21302;16502
19.000; Dynamics module data; 0x11;0000;19901;0000;15100
19.000; Dynamics module sensor errors; 0x12;0000;0000;0000;0000
19.000; Thermal sensor module; 0x21;23100;16502;1600;2200
19.000; Thermal sensor module; 0x22;6603;15500;18503;13101
19.050; Dynamics module data; 0x11;0000;11100;0000;4300
19.050; Dynamics module sensor errors; 0x12;0100;0000;0100;0000
19.050; Thermal sensor module; 0x21;21000;23202;19402;20400
19.050; Thermal sensor module; 0x22;20402;25102;13400;21900
19.100; Dynamics module data; 0x11;0000;2500;0000;1901
19.100; Dynamics module sensor errors; 0x12;0000;0100;0100;0000
19.100; Thermal sensor module; 0x21;0901;2100;24302;4502
19.100; Thermal sensor module; 0x22;10100;17501;4700;5700
19.150; Dynamics module data; 0x11;0000;1701;0000;25400
19.150; Dynamics module sensor errors; 0x12;0000;0000;0100;0100
19.150; Thermal sensor module; 0x21;6102;15503;23600;13401
19.150; Thermal sensor module; 0x22;2903;1302;15602;18600
19.200; Dynamics module data; 0x11;0000;14800;0000;0801
19.200; Dynamics module sensor errors; 0x12;0100;0100;0000;0000
19.200; Thermal sensor module; 0x21;0703;9300;19801;13201
19.200; Thermal sensor module; 0x22;25400;11303;3800;21201
19.250; Dynamics module data; 0x11;0000;16201;0000;21000
19.250; Dynamics module sensor errors; 0x12;0000;0000;0000;0000
19.250; Thermal sensor module; 0x21;14503;19300;25001;4402
19.250; Thermal sensor module; 0x22;16801;20000;5500;9901
19.300; Dynamics module data; 0x11;0000;16000;0000;19501
19.300; Dynamics module sensor errors; 0x12;0000;0000;0100;0100
19.300; Thermal sensor module; 0x21;12401;7703;14503;23600
19.300; Thermal sensor module; 0x22;11702;12701;12602;11601
19.350; Dynamics module data; 0x11;0000;13101;0000;13100
19.350; Dynamics module sensor errors; 0x12;0100;0000;0100;0000
19.350; Thermal sensor module; 0x21;13501;3600;18000;23102
19.350; Thermal sensor module; 0x22;2201;8303;22203;3701
19.400; Dynamics module data; 0x11;0000;0100;0000;8101
19.400; Dynamics module sensor errors; 0x12;0100;0000;0000;0000
19.400; Thermal sensor module; 0x21;3702;16502;10001;15603
19.400; Thermal sensor module; 0x22;10700;18603;3901;13001
19.450; Dynamics module data; 0x11;0000;21900;0000;20700
19.450; Dynamics module sensor errors; 0x12;0100;0100;0100;0000
19.450; Thermal sensor module; 0x21;11802;2702;20203;9500
19.450; Thermal sensor module; 0x22;23002;14403;18601;10501
19.500; Dynamics module data; 0x11;0000;5401;0000;4001
19.500; Dynamics module sensor errors; 0x12;0100;0100;0100;0100
19.500; Thermal sensor module; 0x21;22003;20503;5503;22103
19.500; Thermal sensor module; 0x22;18300;13800;21702;7803
19.550; Dynamics module data; 0x11;0000;24600;0000;24301
19.550; Dynamics module sensor errors; 0x12;0000;0100;0000;0100
19.550; Thermal sensor module; 0x21;13502;10202;3502;21101
19.550; Thermal sensor module; 0x22;4800;11003;9101;12602
19.600; Dynamics module data; 0x11;0000;16601;0000;2601
19.600; Dynamics module sensor errors; 0x12;0100;0000;0100;0100
19.600; Thermal sensor module; 0x21;7201;7701;0900;2202
19.600; Thermal sensor module; 0x22;5803;15200;9100;11103
19.650; Dynamics module data; 0x11;0000;14601;0000;23900
19.650; Dynamics module sensor errors; 0x12;0100;0100;0000;0000
19.650; Thermal sensor module; 0x21;12901;1303;12102;2701
19.650; Thermal sensor module; 0x22;25301;5301;12101;2202
19.700; Dynamics module data; 0x11;0000;0401;0000;21200
19.700; Dynamics module sensor errors; 0x12;0000;0100;0100;0100
19.700; Thermal sensor module; 0x21;8202;3700;19503;12001
19.700; Thermal sensor module; 0x22;10602;20200;11000;10203
19.750; Dynamics module data; 0x11;0000;15801;0000;23600
19.750; Dynamics module sensor errors; 0x12;0100;0100;0100;0000
19.750; Thermal sensor module; 0x21;22801;8003;6603;19301
19.750; Thermal sensor module; 0x22;16302;13303;22001;17403
19.800; Dynamics module data; 0x11;0000;5600;0000;17700
19.800; Dynamics module sensor errors; 0x12;0000;0000;0000;0000
19.800; Thermal sensor module; 0x21;24801;9301;8503;17801
19.800; Thermal sensor module; 0x22;15303;17000;15401;25102
19.850; Dynamics module data; 0x11;0000;15101;0000;6400
19.850; Dynamics module sensor errors; 0x12;0100;0000;0000;0000
19.850; Thermal sensor module; 0x21;2401;2402;11100;20200
19.850; Thermal sensor module; 0x22;20502;13402;4302;4002
19.900; Dynamics module data; 0x11;0000;7901;0000;13900
19.900; Dynamics module sensor errors; 0x12;0100;0100;0000;0100
19.900; Thermal sensor module; 0x21;1300;21303;19900;6202
19.900; Thermal sensor module; 0x22;15101;15803;19100;22000
19.950; Dynamics module data; 0x11;0000;0400;0000;7500
19.950; Dynamics module sensor errors; 0x12;0100;0000;0100;0000
19.950; Thermal sensor module; 0x21;1401;3502;7900;21702
19.950; Thermal sensor module; 0x22;8801;13603;0801;5201
20.000; Dynamics module data; 0x11;0000;5801;0000;17901
20.000; Dynamics module sensor errors; 0x12;0100;0000;0100;0100
20.000; Thermal sensor module; 0x21;13401;9403;15301;24902
20.000; Thermal sensor module; 0x22;3401;1603;8500;23600
20.050; Dynamics module data; 0x11;0000;2400;0000;9000
20.050; Dynamics module sensor errors; 0x12;0100;0000;0000;0100
20.050; Thermal sensor module; 0x21;8501;3400;17200;6001
20.050; Thermal sensor module; 0x22;2201;7501;0902;20102
20.100; Dynamics module data; 0x11;0000;21100;0000;7200
20.100; Dynamics module sensor errors; 0x12;0000;0100;0000;0100
20.100; Thermal sensor module; 0x21;21300;13400;24200;11701
20.100; Thermal sensor module; 0x22;10003;4603;22703;0902
20.150; Dynamics module data; 0x11;0000;2701;0000;10000
20.150; Dynamics module sensor errors; 0x12;0000;0000;0000;0000
20.150; Thermal sensor module; 0x21;12501;13400;24400;19500
20.150; Thermal sensor module; 0x22;8600;18303;21400;22400
20.200; Dynamics module data; 0x11;0000;14100;0000;22800
20.200; Dynamics module sensor errors; 0x12;0000;0000;0000;0100
20.200; Thermal sensor module; 0x21;14500;13401;9101;21802
20.200; Thermal sensor module; 0x22;21200;17802;7501;11600
20.250; Dynamics module data; 0x11;0000;19600;0000;17100
20.250; Dynamics module sensor errors; 0x12;0100;0100;0100;0000
20.250; Thermal sensor module; 0x21;18301;14902;20003;19102
20.250; Thermal sensor module; 0x22;11203;10802;22502;16100
20.300; Dynamics module data; 0x11;0000;21400;0000;15500
20.300; Dynamics module sensor errors; 0x12;0000;0000;0000;0000
20.300; Thermal sensor module; 0x21;5801;20700;21202;23101
20.300; Thermal sensor module; 0x22;19502;19501;21101;3602
20.350; Dynamics module data; 0x11;0000;10901;0000;4100
20.350; Dynamics module sensor errors; 0x12;0100;0100;0000;0000
20.350; Thermal sensor module; 0x21;18600;16101;13603;12000
20.350; Thermal sensor module; 0x22;8500;0301;21700;5102
20.400; Dynamics module data; 0x11;0000;18701;0000;11801
20.400; Dynamics module sensor errors; 0x12;0100;0100;0100;0000
20.400; Thermal sensor module; 0x21;0900;9502;21302;22101
20.400; Thermal sensor module; 0x22;4803;20100;0402;13800
20.450; Dynamics module data; 0x11;0000;5001;0000;16001
20.450; Dynamics module sensor errors; 0x12;0000;0100;0100;0100
20.450; Thermal sensor module; 0x21;6200;13602;22002;6103
20.450; Thermal sensor module; 0x22;18001;15400;0502;23801
20.500; Dynamics module data; 0x11;0000;22400;0000;12801
20.500; Dynamics module sensor errors; 0x12;0000;0100;0000;0000
20.500; Thermal sensor module; 0x21;23702;6400;10201;17203
20.500; Thermal sensor module; 0x22;1103;10800;9303;18102
20.550; Dynamics module data; 0x11;0000;1500;0000;2301
20.550; Dynamics module sensor errors; 0x12;0000;0100;0000;0000
20.550; Thermal sensor module; 0x21;8402;7602;2000;13501
20.550; Thermal sensor module; 0x22;16602;14702;0603;4300
20.600; Dynamics module data; 0x11;0000;16700;0000;4400
20.600; Dynamics module sensor errors; 0x12;0100;0000;0000;0000
20.600; Thermal sensor module; 0x21;19001;3300;21500;21903
20.600; Thermal sensor module; 0x22;14903;19602;11202;7002
20.650; Dynamics module data; 0x11;0000;4001;0000;8200
20.650; Dynamics module sensor errors; 0x12;0100;0100;0000;0100
20.650; Thermal sensor module; 0x21;8300;12301;15100;0503
20.650; Thermal sensor module; 0x22;14501;21202;4402;9000
20.700; Dynamics module data; 0x11;0000;1201;0000;14401
20.700; Dynamics module sensor errors; 0x12;0000;0000;0000;0100
20.700; Thermal sensor module; 0x21;14801;16101;0700;16202
20.700; Thermal sensor module; 0x22;4402;11301;12300;19603
20.750; Dynamics module data; 0x11;0000;14700;0000;24700
20.750; Dynamics module sensor errors; 0x12;0100;0100;0000;0100
20.750; Thermal sensor module; 0x21;18701;19901;14201;4800
20.750; Thermal sensor module; 0x22;25501;11101;0700;0203
20.800; Dynamics module data; 0x11;0000;16701;0000;10001
20.800; Dynamics module sensor errors; 0x12;0000;0100;0100;0000
20.800; Thermal sensor module; 0x21;18402;5802;10300;13801
20.800; Thermal sensor module; 0x22;10603;1102;20802;18403
20.850; Dynamics module data; 0x11;0000;15900;0000;17400
20.850; Dynamics module sensor errors; 0x12;0000;0100;0000;0100
20.850; Thermal sensor module; 0x21;1302;8703;17702;23103
20.850; Thermal sensor module; 0x22;17502;20200;16600;1200
20.900; Dynamics module data; 0x11;0000;2200;0000;20000
20.900; Dynamics module sensor errors; 0x12;0000;0100;0100;0100
20.900; Thermal sensor module; 0x21;22601;5903;15103;22701
20.900; Thermal sensor module; 0x22;7902;20203;25201;24202
20.950; Dynamics module data; 0x11;0000;2400;0000;7101
20.950; Dynamics module sensor errors; 0x12;0100;0000;0100;0000
20.950; Thermal sensor module; 0x21;12802;18701;0003;23502
20.950; Thermal sensor module; 0x22;15403;16702;16301;23103
21.000; Dynamics module data; 0x11;0000;15600;0000;18100
21.000; Dynamics module sensor errors; 0x12;0100;0000;0000;0100
21.000; Thermal sensor module; 0x21;15203;22802;3901;14803
21.000; Thermal sensor module; 0x22;22602;8601;4202;4101
21.050; Dynamics module data; 0x11;0000;17501;0000;15000
21.050; Dynamics module sensor errors; 0x12;0100;0100;0000;0100
21.050; Thermal sensor module; 0x21;23601;17902;24301;7602
21.050; Thermal sensor module; 0x22;23902;10102;4400;17200
21.100; Dynamics module data; 0x11;0000;5701;0000;17301
21.100; Dynamics module sensor errors; 0x12;0100;0000;0000;0000
21.100; Thermal sensor module; 0x21;7601;2902;16601;5401
21.100; Thermal sensor module; 0x22;12300;5602;16901;7000
